uuid,story,room_index,n_planes_scored,n_disagree,disagreement_rate,building_n_stories,is_top_story,is_ground_story,is_only_story,exterior_edge_frac,perimeter_m,max_floor_dim_m,floor_area_m2,aspect_ratio
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,7,2,0,0.0,1,True,False,True,0.225,17.29,6.12,16.04,1.22
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,8,1,0,0.0,1,True,False,True,0.255,14.82,5.24,13.71,1.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,9,1,0,0.0,1,True,False,True,0.135,21.48,6.56,10.89,1.32
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,10,1,0,0.0,1,True,False,True,0.488,13.84,4.92,11.73,1.01
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,11,1,0,0.0,1,True,False,True,0.32,26.45,9.48,39.51,1.03
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,0,3,0,0.0,2,True,False,False,0.687,15.12,5.11,13.73,1.28
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,1,2,1,0.5,2,True,False,False,0.72,12.09,3.76,9.1,1.06
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,3,18,8,0.444,2,True,False,False,0.459,31.56,6.62,22.3,1.17
0fe789ce-e653-4828-863c-0f6ce7fee21d,0,4,1,0,0.0,2,False,True,False,0.608,26.79,8.51,33.48,1.23
0fe789ce-e653-4828-863c-0f6ce7fee21d,0,7,1,0,0.0,2,False,True,False,0.387,10.18,3.48,3.96,1.49
107e8496-9bff-42bb-b776-720f44b70e55,0,0,1,0,0.0,1,True,False,True,0.236,12.96,3.48,10.5,1.01
107e8496-9bff-42bb-b776-720f44b70e55,0,1,1,0,0.0,1,True,False,True,0.49,19.5,6.06,22.93,1.39
107e8496-9bff-42bb-b776-720f44b70e55,0,2,1,0,0.0,1,True,False,True,0.294,12.52,4.03,9.26,1.52
107e8496-9bff-42bb-b776-720f44b70e55,0,3,1,0,0.0,1,True,False,True,0.474,7.76,2.48,3.57,1.49
107e8496-9bff-42bb-b776-720f44b70e55,0,4,1,0,0.0,1,True,False,True,0.024,59.49,11.41,10.41,1.54
107e8496-9bff-42bb-b776-720f44b70e55,0,5,1,0,0.0,1,True,False,True,0.486,14.21,4.05,12.55,1.14
107e8496-9bff-42bb-b776-720f44b70e55,0,6,1,0,0.0,1,True,False,True,0.166,14.82,4.3,13.59,1.19
107e8496-9bff-42bb-b776-720f44b70e55,0,7,1,0,0.0,1,True,False,True,0.46,15.32,4.93,11.52,1.59
107e8496-9bff-42bb-b776-720f44b70e55,0,8,1,0,0.0,1,True,False,True,0.467,6.12,2.02,2.17,1.62
10d27382-8fce-456b-897d-3d5194ff5de5,1,0,1,0,0.0,2,True,False,False,0.295,27.96,5.63,11.24,1.04
10d27382-8fce-456b-897d-3d5194ff5de5,1,1,1,0,0.0,2,True,False,False,0.482,10.4,3.57,6.13,1.66
10d27382-8fce-456b-897d-3d5194ff5de5,1,2,1,0,0.0,2,True,False,False,0.273,30.39,10.14,25.11,2.03
10d27382-8fce-456b-897d-3d5194ff5de5,1,3,1,0,0.0,2,True,False,False,0.134,10.81,3.29,4.76,1.45
10d27382-8fce-456b-897d-3d5194ff5de5,1,4,1,0,0.0,2,True,False,False,0.422,12.94,4.65,7.23,1.97
10d27382-8fce-456b-897d-3d5194ff5de5,1,5,1,0,0.0,2,True,False,False,0.419,18.97,5.3,15.46,1.48
10d27382-8fce-456b-897d-3d5194ff5de5,1,6,1,0,0.0,2,True,False,False,0.278,9.03,2.89,4.89,1.39
10d27382-8fce-456b-897d-3d5194ff5de5,1,7,1,0,0.0,2,True,False,False,0.387,15.19,5.07,10.17,1.83
10d27382-8fce-456b-897d-3d5194ff5de5,0,8,1,0,0.0,2,False,True,False,1.0,9.31,2.97,4.89,1.41
117d172e-00d6-436e-8df2-050f25977602,0,1,1,0,0.0,2,False,True,False,0.674,20.99,7.65,25.33,1.09
117d172e-00d6-436e-8df2-050f25977602,0,2,1,0,0.0,2,False,True,False,0.154,8.78,2.45,2.99,1.06
117d172e-00d6-436e-8df2-050f25977602,1,5,5,1,0.2,2,True,False,False,0.728,14.44,5.14,11.34,1.14
117d172e-00d6-436e-8df2-050f25977602,1,6,20,7,0.35,2,True,False,False,0.642,15.61,4.36,8.19,1.01
117d172e-00d6-436e-8df2-050f25977602,1,7,2,1,0.5,2,True,False,False,0.775,14.3,5.04,12.77,1.01
117d172e-00d6-436e-8df2-050f25977602,1,8,2,1,0.5,2,True,False,False,0.265,14.2,4.91,7.05,1.27
121ff4c2-ec13-46b8-b557-b31775259e5d,0,0,1,0,0.0,1,True,False,True,0.48,10.09,3.61,6.22,1.04
121ff4c2-ec13-46b8-b557-b31775259e5d,0,1,1,0,0.0,1,True,False,True,0.543,25.87,9.08,35.36,1.18
121ff4c2-ec13-46b8-b557-b31775259e5d,0,2,1,0,0.0,1,True,False,True,0.122,31.38,7.46,8.27,1.1
121ff4c2-ec13-46b8-b557-b31775259e5d,0,3,1,1,1.0,1,True,False,True,0.622,11.92,3.02,4.22,1.01
121ff4c2-ec13-46b8-b557-b31775259e5d,0,4,1,0,0.0,1,True,False,True,0.482,10.72,3.85,6.9,1.05
121ff4c2-ec13-46b8-b557-b31775259e5d,0,5,1,0,0.0,1,True,False,True,0.651,12.95,4.56,10.47,1.01
121ff4c2-ec13-46b8-b557-b31775259e5d,0,6,1,0,0.0,1,True,False,True,0.397,11.67,4.14,7.23,1.14
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,0,4,0,0.0,2,False,True,False,0.792,13.75,4.59,11.25,1.35
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,1,4,1,0.25,2,False,True,False,0.428,11.27,3.38,7.91,1.07
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,2,1,0,0.0,2,False,True,False,0.958,14.12,4.81,10.89,1.44
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,4,10,5,0.5,2,True,False,False,0.247,11.02,3.31,7.45,1.13
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,5,1,1,1.0,2,True,False,False,0.288,34.31,7.89,12.41,1.17
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,6,4,2,0.5,2,True,False,False,0.714,17.17,5.28,18.25,1.15
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,0,10,4,0.4,2,True,False,False,0.251,23.91,7.75,18.3,1.66
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,1,2,1,0.5,2,True,False,False,0.186,16.13,4.83,8.8,1.33
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,2,3,1,0.333,2,True,False,False,0.712,17.68,5.24,19.31,1.19
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,3,6,5,0.833,2,True,False,False,0.249,27.71,7.2,10.96,2.21
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,4,3,0,0.0,2,True,False,False,0.824,13.27,4.63,9.48,1.8
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,5,2,2,1.0,2,True,False,False,0.481,10.61,3.3,6.83,1.33
1825a812-09d0-4407-9265-182a07053cfc,0,0,1,0,0.0,1,True,False,True,0.235,13.27,3.64,11.01,1.01
1825a812-09d0-4407-9265-182a07053cfc,0,1,1,0,0.0,1,True,False,True,0.18,11.41,3.66,7.77,1.42
1825a812-09d0-4407-9265-182a07053cfc,0,2,1,0,0.0,1,True,False,True,0.241,13.42,3.74,11.24,1.04
1825a812-09d0-4407-9265-182a07053cfc,0,3,1,0,0.0,1,True,False,True,0.482,11.04,3.48,7.36,1.36
1825a812-09d0-4407-9265-182a07053cfc,0,4,1,0,0.0,1,True,False,True,0.266,18.4,5.37,13.38,1.52
1825a812-09d0-4407-9265-182a07053cfc,0,5,1,0,0.0,1,True,False,True,0.013,14.53,4.18,13.14,1.11
1825a812-09d0-4407-9265-182a07053cfc,0,6,1,0,0.0,1,True,False,True,0.003,75.84,10.56,6.66,1.34
1825a812-09d0-4407-9265-182a07053cfc,0,7,1,0,0.0,1,True,False,True,0.0,9.4,3.2,5.02,1.65
1825a812-09d0-4407-9265-182a07053cfc,0,8,1,0,0.0,1,True,False,True,0.179,10.84,3.55,6.72,1.53
1825a812-09d0-4407-9265-182a07053cfc,0,9,1,0,0.0,1,True,False,True,0.041,75.15,11.17,6.07,1.33
1825a812-09d0-4407-9265-182a07053cfc,0,10,4,2,0.5,1,True,False,True,0.139,26.46,7.39,33.91,1.17
1900be91-8684-4316-98e2-c4fef6e6296f,1,0,16,5,0.312,2,True,False,False,0.745,15.23,4.96,11.6,1.59
1900be91-8684-4316-98e2-c4fef6e6296f,1,1,16,6,0.375,2,True,False,False,0.49,34.66,8.55,30.88,1.18
1900be91-8684-4316-98e2-c4fef6e6296f,1,2,4,2,0.5,2,True,False,False,0.825,17.95,6.44,17.71,1.66
1900be91-8684-4316-98e2-c4fef6e6296f,1,3,1,0,0.0,2,True,False,False,0.484,19.74,4.57,12.05,1.29
1900be91-8684-4316-98e2-c4fef6e6296f,0,4,1,0,0.0,2,False,True,False,0.162,10.77,3.64,3.37,1.68
1900be91-8684-4316-98e2-c4fef6e6296f,0,5,2,0,0.0,2,False,True,False,0.548,24.73,8.41,32.52,1.52
1900be91-8684-4316-98e2-c4fef6e6296f,0,6,1,0,0.0,2,False,True,False,0.409,34.48,8.51,16.54,1.26
1900be91-8684-4316-98e2-c4fef6e6296f,0,8,1,1,1.0,2,False,True,False,0.67,23.68,4.87,15.66,1.12
1900be91-8684-4316-98e2-c4fef6e6296f,0,10,1,0,0.0,2,False,True,False,0.784,8.75,3.03,4.42,1.46
1900be91-8684-4316-98e2-c4fef6e6296f,0,11,4,3,0.75,2,False,True,False,0.804,14.2,4.49,12.85,1.09
191e11c0-fd47-489c-9e3d-c8072713a761,0,1,1,0,0.0,1,True,False,True,0.699,25.36,9.09,38.91,1.04
191e11c0-fd47-489c-9e3d-c8072713a761,0,2,1,0,0.0,1,True,False,True,0.36,17.08,4.77,10.71,1.15
191e11c0-fd47-489c-9e3d-c8072713a761,0,3,2,0,0.0,1,True,False,True,0.495,14.19,4.96,11.05,1.08
191e11c0-fd47-489c-9e3d-c8072713a761,0,4,1,0,0.0,1,True,False,True,0.179,7.57,2.71,3.46,1.04
191e11c0-fd47-489c-9e3d-c8072713a761,0,5,1,0,0.0,1,True,False,True,0.385,42.66,7.0,10.42,1.19
191e11c0-fd47-489c-9e3d-c8072713a761,0,6,2,0,0.0,1,True,False,True,0.178,9.96,3.57,6.02,1.04
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,0,1,0,0.0,1,True,False,True,0.28,57.24,13.23,50.27,1.3
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,1,1,0,0.0,1,True,False,True,0.26,11.1,3.95,7.6,1.03
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,2,1,0,0.0,1,True,False,True,0.224,12.34,4.35,9.51,1.01
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,3,1,0,0.0,1,True,False,True,0.483,11.22,3.91,7.64,1.02
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,4,1,0,0.0,1,True,False,True,0.486,14.55,4.99,11.66,1.13
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,5,1,0,0.0,1,True,False,True,0.3,17.25,3.89,6.85,1.07
19459014-f39b-4bf6-945e-c5b50930dea3,0,0,2,0,0.0,2,False,True,False,0.7,30.96,10.47,54.74,1.58
19459014-f39b-4bf6-945e-c5b50930dea3,0,2,1,0,0.0,2,False,True,False,0.051,49.76,13.85,10.44,1.62
19459014-f39b-4bf6-945e-c5b50930dea3,0,5,1,0,0.0,2,False,True,False,0.483,11.13,3.51,7.52,1.31
19459014-f39b-4bf6-945e-c5b50930dea3,0,6,1,0,0.0,2,False,True,False,0.479,12.36,3.55,9.54,1.07
19459014-f39b-4bf6-945e-c5b50930dea3,1,8,5,1,0.2,2,True,False,False,0.48,17.86,5.66,16.45,1.41
19459014-f39b-4bf6-945e-c5b50930dea3,1,9,2,1,0.5,2,True,False,False,0.438,22.63,4.53,6.16,1.27
19459014-f39b-4bf6-945e-c5b50930dea3,1,10,2,1,0.5,2,True,False,False,0.325,11.23,3.04,5.34,1.04
19bf6498-09eb-4c62-8fc8-8623942351ba,0,0,1,0,0.0,1,True,False,True,0.485,13.19,4.76,10.31,1.06
19bf6498-09eb-4c62-8fc8-8623942351ba,0,1,1,0,0.0,1,True,False,True,0.487,15.52,5.62,14.12,1.07
19bf6498-09eb-4c62-8fc8-8623942351ba,0,2,1,0,0.0,1,True,False,True,0.231,11.6,4.07,8.41,1.0
19bf6498-09eb-4c62-8fc8-8623942351ba,0,3,1,0,0.0,1,True,False,True,0.196,6.7,2.38,2.64,1.06
19bf6498-09eb-4c62-8fc8-8623942351ba,0,4,1,0,0.0,1,True,False,True,0.031,55.87,8.38,13.26,1.05
19bf6498-09eb-4c62-8fc8-8623942351ba,0,5,1,0,0.0,1,True,False,True,0.622,29.06,10.01,44.09,1.11
19bf6498-09eb-4c62-8fc8-8623942351ba,0,6,1,0,0.0,1,True,False,True,0.117,35.35,6.89,12.04,1.11
19bf6498-09eb-4c62-8fc8-8623942351ba,0,7,1,0,0.0,1,True,False,True,0.475,10.03,3.54,6.12,1.02
19bf6498-09eb-4c62-8fc8-8623942351ba,0,8,1,0,0.0,1,True,False,True,0.198,13.29,4.14,5.59,1.35
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,0,1,0,0.0,1,True,False,True,0.288,15.6,5.32,14.59,1.28
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,1,1,0,0.0,1,True,False,True,0.222,5.74,1.77,2.06,1.03
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,2,1,0,0.0,1,True,False,True,0.0,69.93,13.67,11.05,1.92
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,3,1,0,0.0,1,True,False,True,0.217,5.6,1.71,1.96,1.01
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,4,1,0,0.0,1,True,False,True,0.0,12.19,5.1,5.55,2.21
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,5,1,0,0.0,1,True,False,True,0.49,18.03,5.51,16.61,1.07
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,6,1,0,0.0,1,True,False,True,0.62,18.31,4.37,10.91,1.15
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,7,1,0,0.0,1,True,False,True,0.182,9.65,3.28,5.6,1.26
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,8,1,0,0.0,1,True,False,True,0.482,11.23,3.64,7.78,1.14
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,9,1,0,0.0,1,True,False,True,0.529,33.49,11.0,46.55,1.39
1d26eda3-c927-4cdf-a3b0-218036828a55,1,0,6,3,0.5,2,True,False,False,0.513,19.0,6.49,21.7,1.06
