uuid,story,room_index,has_dormer,exposed,n_planes_scored,n_disagree,disagreement_rate,ceiling_type,raw_ceiling_source,n_walls_computed,n_doors,n_windows,n_openings,n_storages,n_floor_corners,floor_area_m2,raw_area_xz_m2,raw_area_vs_floor,n_raw_planes_room,n_raw_oblique,n_raw_near_vertical,incl_p50_deg,incl_range_deg,incl_std_deg,azimuth_range_deg
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,4,False,True,1,0,0.0,none,noMesh,6,1,0,0,2,7,9.3,9.3,1.0,1,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,5,False,True,1,0,0.0,none,noMesh,4,0,0,0,1,4,5.83,5.83,1.0,1,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,6,False,True,2,0,0.0,none,noMesh,10,6,0,1,1,9,10.65,10.65,1.0,2,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,7,False,True,2,0,0.0,none,noMesh,13,1,2,1,3,9,16.04,16.04,1.0,2,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,8,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,8,13.71,13.6,0.992,1,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,9,False,True,1,0,0.0,none,noMesh,6,2,0,0,1,16,10.89,9.38,0.861,1,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,10,False,True,1,0,0.0,none,noMesh,5,1,1,0,1,4,11.73,11.73,1.0,1,0,0,0.0,0.0,0.0,0.0
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,11,False,True,1,0,0.0,none,noMesh,4,1,4,0,1,4,39.51,39.51,1.0,2,1,1,45.71,88.58,44.29,0.0
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,0,False,True,3,0,0.0,sloped,noMesh,4,1,2,0,2,4,13.73,13.73,1.0,5,4,2,43.54,90.0,36.02,269.43
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,1,False,True,2,1,0.5,none,noMesh,3,2,1,0,2,6,9.1,9.12,1.002,2,2,0,24.61,35.24,17.62,90.23
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,3,True,True,18,8,0.444,sloped,noMesh,11,2,3,0,3,16,22.3,22.01,0.987,24,21,6,26.79,90.0,33.3,285.65
0fe789ce-e653-4828-863c-0f6ce7fee21d,0,4,False,True,1,0,0.0,none,noMesh,6,1,5,1,4,6,33.48,33.48,1.0,1,0,0,0.0,0.0,0.0,0.0
0fe789ce-e653-4828-863c-0f6ce7fee21d,0,7,False,True,1,0,0.0,none,noMesh,4,3,0,0,1,9,3.96,3.65,0.92,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,0,False,True,1,0,0.0,none,noMesh,2,0,1,1,1,4,10.5,10.61,1.011,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,1,False,True,1,0,0.0,none,noMesh,4,0,2,2,2,4,22.93,22.93,1.0,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,2,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,4,9.26,9.26,1.0,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,3,False,True,1,0,0.0,none,noMesh,4,1,1,0,2,4,3.57,3.57,1.0,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,4,False,True,1,0,0.0,none,noMesh,5,4,0,2,4,26,10.41,8.01,0.77,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,5,False,True,1,0,0.0,none,noMesh,6,1,1,0,3,5,12.55,12.55,1.0,1,0,0,0.0,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,6,False,True,1,0,0.0,none,noMesh,4,0,1,2,7,4,13.59,13.59,1.0,1,0,0,0.0,0.0,0.0,0.0
