uuid,total_edges,horizontal_edges,sloped_edges,ridge_or_hip_edges,eave_edges,isolated_horizontal_edges,pipeline_oblique_clusters,pipeline_oblique_surfaces,ridge_minus_clusters
98472f6b-45bc-4814-a4b8-914f8f6976dd,87,43,44,2,28,13,2,2,0
992198d7-4dfe-4ecd-9fa0-b66fa6cac3fd,87,72,15,8,51,13,2,2,6
9bb4ada4-60fb-4ab0-8e05-de49acc92623,51,49,2,0,33,16,1,1,-1
9bc73438-328e-440e-a4be-25efa61d3b7c,102,65,37,6,50,9,1,1,5
9bdc330e-6144-499b-9c70-3fc6f0c4ebf3,89,89,0,0,58,31,0,0,0
9c07bf97-56cd-4d82-a99d-00809d1d8537,56,56,0,0,37,19,0,0,0
9c42b8bc-b55c-427b-b695-9d073c5f8a75,243,166,77,44,64,58,2,2,42
9c80d7ae-2804-4b2f-83bb-544927398846,109,101,8,4,59,38,0,0,4
9dce7b8f-036f-42bb-9645-a1b5cc17fbd1,63,53,10,4,33,16,1,1,3
a085ad69-b4d4-4296-bc5e-731a0cceec5e,54,50,4,0,29,21,0,0,0
a1ac389f-7406-4ddf-a270-d9a5e72dbf51,130,90,40,14,62,14,1,1,13
a317a543-06cf-4f1b-97d2-139c26c1cb13,299,192,107,58,64,70,2,2,56
a3997c27-0367-483e-a462-64847105997d,46,46,0,0,35,11,0,0,0
a430ffa9-a314-4352-8b54-dfbd04634861,119,90,29,12,45,33,2,2,10
a443b86f-c86a-47a7-abef-0a56893c99b0,119,89,30,18,47,24,1,1,17
a492a5d6-ab9f-4b1e-bbfe-4762c1370a40,118,77,41,19,40,18,3,3,16
a4d6eef3-6107-45a3-bd37-3cf2ef4e9efb,61,55,6,4,38,13,1,1,3
a8a3b04b-42d0-4468-8b3a-5e2135b9313b,50,50,0,0,34,16,0,0,0
a8aca518-ee19-4cef-8df9-1b574c2d43d1,151,95,56,17,52,26,3,2,14
aa047931-2b45-497d-a093-f637a2934699,88,84,4,4,49,31,0,0,4
ad2243cf-dac2-4f43-aa8d-37d50dc46a33,42,42,0,0,31,11,0,0,0
b01824fc-be43-451f-bc6e-aaab701c144d,60,54,6,2,36,16,0,0,2
b4f7407a-5941-4165-947a-a726dc432c69,38,38,0,0,28,10,0,0,0
b53c11aa-8db7-4aad-a24d-3ffa9eeff5de,134,95,39,20,40,35,2,2,18
b65126ae-ccca-4032-876f-e9c1c059862c,131,82,49,16,50,16,4,4,12
b8782b87-5800-42dd-8926-07d8f11cafc0,52,52,0,0,37,15,0,0,0
b8cefbc4-bb4e-4d53-be56-990780166cae,279,160,119,49,71,40,2,2,47
b8def755-9829-4141-8ecb-3e71ef446d0d,164,91,73,23,48,20,5,2,18
b8f923d9-dc6a-4cc2-b99c-b98bb7d01f57,34,16,18,4,12,0,0,0,4
b9575f6d-aa02-4540-ba49-d8e823a41067,46,46,0,0,31,15,0,0,0
bad532ea-75de-411a-a390-77f4d6a93ff8,197,106,91,30,51,25,2,2,28
bb00df25-e7be-420e-8ad1-1f9be60a4c4a,85,75,10,10,37,28,1,1,9
bc2779a4-d0a2-4ba8-abbf-10129d3f82de,217,140,77,27,64,49,3,2,24
bfd05652-9331-4260-886d-1b6779ee1bfa,103,95,8,7,52,36,1,1,6
c001b1ca-ea07-472d-b888-6ab457d4e7d9,55,51,4,2,40,9,0,0,2
c2800052-b0e7-4c30-a881-f813cb0b2043,132,95,37,25,49,21,1,0,24
c3ddcac0-827d-48dc-9223-4b219d874fa5,74,64,10,6,38,20,1,1,5
c72ad855-9e52-46f1-886d-a9f37911521f,73,56,17,10,34,12,3,2,7
c7898e89-b45b-47f3-96b7-8c1fa96ef9fd,100,47,53,16,15,16,2,2,14
c7f2456f-91fe-4aaa-a9ba-d886ec8e0648,60,58,2,0,36,22,0,0,0
